Date_Time	Primary Gas Concentration	Primary Gas Concentration Estado	PGA Gain	PGA Gain Estado	SO2 Reference Gain Pot	SO2 Reference Gain Pot Estado	SO2 Signal Gain Pot	SO2 Signal Gain Pot Estado	Instrument Gain	Instrument Gain Estado	Lamp Current	Lamp Current Estado	High Voltage	High Voltage Estado	Gas Pressure	Gas Pressure Estado	Chassis Temperature	Chassis Temperature Estado	Instrument Status	Instrument Status Estado	Instrument State	Instrument State Estado	Instrument Units	Instrument Units Estado	
15/02/2018	01:45:00	50	2.815999	49	128	44	81	45	123	56	18.334488	64	35.040283	67	710.83447	72	480.01257	77	39.0625	83	0	110	1	116	4
15/02/2018	01:46:00	50	3.0996008	49	128	44	81	45	123	56	18.334488	64	35.031128	67	710.83447	72	480.05481	77	38.96875	83	0	110	1	116	4
15/02/2018	01:47:00	50	2.6350694	49	128	44	81	45	123	56	18.334488	64	35.049438	67	710.83447	72	480.0368	77	39.125	83	0	110	1	116	4
15/02/2018	01:48:00	50	2.9511552	49	128	44	81	45	123	56	18.334488	64	35.046387	67	710.83447	72	479.98773	77	38.875	83	0	110	1	116	4
15/02/2018	01:49:00	50	2.5765653	49	128	44	81	45	123	56	18.334488	64	35.025024	67	710.83447	72	480.04852	77	38.9375	83	0	110	1	116	4
15/02/2018	01:50:00	50	2.2704668	49	128	44	81	45	123	56	18.334488	64	35.046387	67	710.83447	72	480.04468	77	39	83	0	110	1	116	4
15/02/2018	01:51:00	50	2.3139338	49	128	44	81	45	123	56	18.334488	64	35.049438	67	710.83447	72	480.02283	77	39.09375	83	0	110	1	116	4
15/02/2018	01:52:00	50	2.218565	49	128	44	81	45	123	56	18.334488	64	35.025024	67	710.83447	72	480.07959	77	39.15625	83	0	110	1	116	4
15/02/2018	01:53:00	50	2.0413733	49	128	44	81	45	123	56	18.334488	64	35.040283	67	710.83447	72	480.07721	77	39.1875	83	0	110	1	116	4
15/02/2018	01:54:00	50	2.4362297	49	128	44	81	45	123	56	18.334488	64	35.055542	67	710.83447	72	480.09491	77	39.0625	83	0	110	1	116	4
15/02/2018	01:55:00	50	2.1309104	49	128	44	81	45	123	56	18.334488	64	35.03418	67	710.83447	72	480.08032	77	39.25	83	0	110	1	116	4
15/02/2018	01:56:00	50	2.3431454	49	128	44	81	45	123	56	18.334488	64	35.031128	67	710.83447	72	480.07355	77	39.21875	83	0	110	1	116	4
15/02/2018	01:57:00	50	2.8469028	49	128	44	81	45	123	56	18.334488	64	35.05249	67	710.83447	72	480.08856	77	39.3125	83	0	110	1	116	4
15/02/2018	01:58:00	50	3.7934566	49	128	44	81	45	123	56	18.334488	64	35.046387	67	710.83447	72	480.08698	77	39.09375	83	0	110	1	116	4
15/02/2018	01:59:00	50	3.511651	49	128	44	81	45	123	56	18.334488	64	35.028076	67	710.83447	72	480.09485	77	39.09375	83	0	110	1	116	4
